unique_id,Property Address,Floor,Suite,Size (SF),Rent/SF/Year,Associate 1,BROKER Email ID,Associate 2,Associate 3,Associate 4,Annual Rent,Monthly Rent,GCI On 3 Years
1,36 W 36th St,3.0,300,18650,87.0,Hector Barbossa,test1@okadaco.com,Jorah Mormont,Meemaw,Oscar Piastri,1622550,135213,292059
2,15 W 38th St,3.0,300,17260,109.0,Joshamee Gibbs,test1@okadaco.com,Tyrion Lannister,George Cooper Sr.,Fernando Alonso,1881340,156778,338641
3,15 W 38th St,6.0,600,15044,87.0,James Norrington,test1@okadaco.com,Daenerys Targaryen,Dr. Linkletter,Max Verstappen,1308828,109069,235589
4,15 W 38th St,7.0,702,9421,90.0,Hector Barbossa,test1@okadaco.com,Daenerys Targaryen,Dr. Sturgis,Oscar Piastri,847890,70658,152620
5,15 W 38th St,8.0,808,17536,92.0,Tia Dalma,test1@okadaco.com,Tyrion Lannister,Dr. Linkletter,Lewis Hamilton,1613312,134443,290396
6,15 W 38th St,9.0,901,18916,89.0,Cutler Beckett,test1@okadaco.com,Arya Stark,Pastor Jeff,Sergio Perez,1683524,140294,303034
7,15 W 38th St,9.0,902,12647,86.0,Cutler Beckett,test1@okadaco.com,Bran Stark,Meemaw,Sergio Perez,1087642,90637,195776
8,15 W 38th St,10.0,101,18177,90.0,Jack Sparrow,test1@okadaco.com,Cersei Lannister,Brenda Sparks,Carlos Sainz,1635930,136328,294467
9,15 W 38th St,11.0,1102,12021,94.0,Tia Dalma,test1@okadaco.com,Sansa Stark,Sheldon Cooper,Oscar Piastri,1129974,94165,203395
10,15 W 38th St,11.0,1103,9337,104.0,Elizabeth Swann,test1@okadaco.com,Tyrion Lannister,Pastor Jeff,George Russell,971048,80921,174789
11,15 W 38th St,12.0,1202,12956,101.0,Cutler Beckett,test1@okadaco.com,Jaime Lannister,George Cooper Sr.,Lewis Hamilton,1308556,109046,235540
12,1412 Broadway,4.0,404,15687,95.0,Jack Sparrow,test1@okadaco.com,Jorah Mormont,Sheldon Cooper,Lewis Hamilton,1490265,124189,268248
13,1412 Broadway,4.0,407,19712,107.0,Davy Jones,test1@okadaco.com,Jaime Lannister,Brenda Sparks,Fernando Alonso,2109184,175765,379653
14,1412 Broadway,5.0,500,16434,81.0,Cutler Beckett,test1@okadaco.com,Jaime Lannister,Missy Cooper,Carlos Sainz,1331154,110930,239608
15,1412 Broadway,6.0,600,10904,102.0,Hector Barbossa,test1@okadaco.com,Jaime Lannister,Sheldon Cooper,Fernando Alonso,1112208,92684,200197
16,1412 Broadway,7.0,700,13073,80.0,Elizabeth Swann,test1@okadaco.com,Daenerys Targaryen,Meemaw,George Russell,1045840,87153,188251
17,1412 Broadway,8.0,800,18454,101.0,Davy Jones,test1@okadaco.com,Jon Snow,Sheldon Cooper,Oscar Piastri,1863854,155321,335494
18,1412 Broadway,16.0,1600,17793,86.0,Davy Jones,test1@okadaco.com,Daenerys Targaryen,Dr. Linkletter,Charles Leclerc,1530198,127517,275436
19,1412 Broadway,16.0,1606,16696,86.0,Will Turner,test1@okadaco.com,Jon Snow,Pastor Jeff,Daniel Ricciardo,1435856,119655,258454
20,1412 Broadway,23.0,2310,16310,80.0,Tia Dalma,test1@okadaco.com,Arya Stark,Meemaw,Daniel Ricciardo,1304800,108733,234864
21,314 E 34th St,2.0,200,16209,93.0,Hector Barbossa,test1@okadaco.com,Cersei Lannister,Sheldon Cooper,Lewis Hamilton,1507437,125620,271339
22,221-223 W 37th St,3.0,300,10814,105.0,Davy Jones,test1@okadaco.com,Bran Stark,Dr. Sturgis,Oscar Piastri,1135470,94623,204385
23,14 E 44th St,4.0,400,18118,98.0,Hector Barbossa,test1@okadaco.com,Tyrion Lannister,Brenda Sparks,George Russell,1775564,147964,319602
24,14 E 44th St,5.0,500,11742,95.0,Hector Barbossa,test1@okadaco.com,Sansa Stark,Pastor Jeff,Charles Leclerc,1115490,92958,200788
25,202 W 40th St,2.0,200,19323,96.0,Will Turner,test1@okadaco.com,Cersei Lannister,Mary Cooper,Carlos Sainz,1855008,154584,333901
26,202 W 40th St,5.0,500,17748,108.0,Bootstrap Bill,test1@okadaco.com,Daenerys Targaryen,Sheldon Cooper,Lewis Hamilton,1916784,159732,345021
27,202 W 40th St,9.0,903,16689,98.0,Will Turner,test1@okadaco.com,Jaime Lannister,Brenda Sparks,Lando Norris,1635522,136294,294394
28,345 Seventh Avenue,25.0,2501,13998,106.0,Davy Jones,test1@okadaco.com,Jaime Lannister,Sheldon Cooper,Oscar Piastri,1483788,123649,267082
29,345 Seventh Avenue,23.0,Duplex,13328,81.0,James Norrington,test1@okadaco.com,Arya Stark,Mary Cooper,George Russell,1079568,89964,194322
30,345 Seventh Avenue,21.0,677,13569,105.0,Davy Jones,test1@okadaco.com,Bran Stark,Mary Cooper,Carlos Sainz,1424745,118729,256454
31,345 Seventh Avenue,20.0,1136,18300,95.0,Bootstrap Bill,test1@okadaco.com,Arya Stark,Meemaw,Carlos Sainz,1738500,144875,312930
32,345 Seventh Avenue,20.0,901,16948,103.0,Elizabeth Swann,test1@okadaco.com,Jon Snow,George Cooper Sr.,Oscar Piastri,1745644,145470,314216
33,345 Seventh Avenue,18.0,1802,17575,81.0,Tia Dalma,test1@okadaco.com,Daenerys Targaryen,Missy Cooper,Oscar Piastri,1423575,118631,256244
34,345 Seventh Avenue,16.0,1602,16469,94.0,Jack Sparrow,test1@okadaco.com,Arya Stark,Georgie Cooper,Max Verstappen,1548086,129007,278655
35,345 Seventh Avenue,15.0,1500,17177,106.0,Davy Jones,test1@okadaco.com,Jon Snow,Georgie Cooper,Sergio Perez,1820762,151730,327737
36,345 Seventh Avenue,14.0,1403,18591,100.0,Tia Dalma,test1@okadaco.com,Cersei Lannister,Dr. Linkletter,Daniel Ricciardo,1859100,154925,334638
37,345 Seventh Avenue,14.0,1404,11997,84.0,Davy Jones,test1@okadaco.com,Tyrion Lannister,Dr. Sturgis,Max Verstappen,1007748,83979,181395
38,345 Seventh Avenue,12.0,1202,11424,90.0,Bootstrap Bill,test1@okadaco.com,Arya Stark,Brenda Sparks,Lando Norris,1028160,85680,185069
39,345 Seventh Avenue,10.0,1000,18004,93.0,James Norrington,test1@okadaco.com,Jorah Mormont,Georgie Cooper,Daniel Ricciardo,1674372,139531,301387
40,345 Seventh Avenue,8.0,803,9572,92.0,Bootstrap Bill,test1@okadaco.com,Daenerys Targaryen,Dr. Linkletter,Lewis Hamilton,880624,73385,158512
41,345 Seventh Avenue,8.0,802,11778,103.0,James Norrington,test1@okadaco.com,Sansa Stark,Brenda Sparks,Max Verstappen,1213134,101095,218364
42,345 Seventh Avenue,8.0,801,12121,91.0,Joshamee Gibbs,test1@okadaco.com,Sansa Stark,George Cooper Sr.,Lando Norris,1103011,91918,198542
43,345 Seventh Avenue,6.0,551,11349,98.0,Hector Barbossa,test1@okadaco.com,Cersei Lannister,Brenda Sparks,George Russell,1112202,92684,200196
44,345 Seventh Avenue,5.0,504,13049,106.0,James Norrington,test1@okadaco.com,Jon Snow,Pastor Jeff,Lando Norris,1383194,115266,248975
45,345 Seventh Avenue,4.0,403,9835,98.0,Jack Sparrow,test1@okadaco.com,Tyrion Lannister,Sheldon Cooper,Carlos Sainz,963830,80319,173489
46,345 Seventh Avenue,4.0,402,15359,108.0,Jack Sparrow,test1@okadaco.com,Daenerys Targaryen,Mary Cooper,Max Verstappen,1658772,138231,298579
47,345 Seventh Avenue,3.0,726,14249,104.0,Will Turner,test1@okadaco.com,Sansa Stark,George Cooper Sr.,Sergio Perez,1481896,123491,266741
48,345 Seventh Avenue,,B,17796,103.0,Elizabeth Swann,test1@okadaco.com,The Hound,Missy Cooper,Fernando Alonso,1832988,152749,329938
49,345 Seventh Avenue,,A,16371,110.0,Davy Jones,test1@okadaco.com,Arya Stark,Sheldon Cooper,Fernando Alonso,1800810,150068,324146
50,129-133 W 27th St,8.0,804,15889,110.0,Elizabeth Swann,test1@okadaco.com,Bran Stark,Mary Cooper,Sergio Perez,1747790,145649,314602
